"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
0,"2017-2018","7601","Actual","Recoveries of Loans & Advances","State Governments","Gross Receipts ",13057.3
1,"2017-2018","7601","Actual","Recoveries of Loans & Advances","State Governments","Recoveries ",""
2,"2017-2018","7602","Actual","Recoveries of Loans & Advances","Union Territories (With Legislature)","Recoveries ",66.81
3,"2017-2018","7605","Actual","Recoveries of Loans & Advances","Foreign Governments","Recoveries ",353.73
4,"2017-2018","9001","Actual","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Gross Receipts ",57161.32
5,"2017-2018","9001","Actual","Recoveries of Loans & Advances","Other Loans & Advances (Public Sector Enterprises, Statutory Bodies etc.)","Recoveries ",-55005.88
6,"2017-2018","4000","Actual","Miscellaneous Capital Receipts","Disinvestment Receipts","Recoveries ",100045.05
7,"2017-2018","4000","Actual","Miscellaneous Capital Receipts","Issue of Bonus Shares","Recoveries ",3.4
8,"2017-2018","4000","Actual","Miscellaneous Capital Receipts","Receipts netted with Bonus Shares","Recoveries ",-3.4
9,"2017-2018","6001","Actual","Borrowings","Market Loans","Gross Borrowings ",588000.0
10,"2017-2018","6001","Actual","Borrowings","Market Loans","Repayments ",-137271.69
11,"2017-2018","6001","Actual","Borrowings","Issuance of Special Securities to Public Sector Banks","Issue of Securities ",80000.0
12,"2017-2018","6001","Actual","Borrowings","Issuance of Special Securities to Public Sector Banks","Repayments ",""
13,"2017-2018","6001","Actual","Borrowings","Issuance of Special Securities to Public Sector Banks","Less Receipts netted ",-80000.0
14,"2017-2018","6001","Actual","Borrowings","Issuance of Special Securities to EXIM Bank","Issue of Securities ",""
15,"2017-2018","6001","Actual","Borrowings","Issuance of Special Securities to EXIM Bank","Repayments ",""
16,"2017-2018","6001","Actual","Borrowings","Issuance of Special Securities to EXIM Bank","Less Receipts netted ",""
17,"2017-2018","6001","Actual","Borrowings","Switching of Securities","Gross Borrowings ",59158.98
